product_id,product_name,category,unit_cost,selling_price
1,"Brake Pad","Braking System",1069.00,1456.59
2,"Brake Disc","Braking System",920.00,1365.42
3,"Clutch Plate",Transmission,1894.00,2677.31
4,"Gear Shaft",Transmission,3440.00,4162.84
5,Crankshaft,Engine,3988.00,5896.68
6,"Engine Valve",Engine,2319.00,3353.83
7,"Piston Ring",Engine,3420.00,4147.64
8,"Ball Bearing",Bearings,539.00,806.85
9,"Roller Bearing",Bearings,548.00,711.78
10,"Steering Knuckle",Steering,2485.00,2986.48
11,"Axle Shaft",Drivetrain,1612.00,1982.50
12,"Wheel Hub",Wheels,2121.00,2622.57
13,"Suspension Arm",Suspension,2030.00,2582.42
14,"Control Arm",Suspension,1660.00,2261.03
15,"Fuel Injector","Fuel System",2584.00,3597.96
16,"Oil Pump",Engine,2018.00,3016.94
17,Flywheel,Engine,3643.00,5341.27
18,"Timing Belt",Engine,2867.00,3686.92
19,"Chassis Bracket",Chassis,1222.00,1654.95
20,"Mounting Plate",Chassis,1136.00,1502.41
