machine_id,machine_name,machine_type,installation_date,status,last_service_date,factory_id
1,CNC-001,"CNC Machine",2015-10-23,Running,2025-08-16,1
2,CNC-002,"CNC Machine",2025-05-05,Running,2025-10-14,1
3,CNC-003,"CNC Machine",2016-12-14,Running,2025-07-28,1
4,CNC-004,"CNC Machine",2020-02-15,Running,2025-07-19,1
5,CNC-005,"CNC Machine",2017-03-10,Running,2025-11-21,1
6,CNC-006,"CNC Machine",2012-03-10,Idle,2025-01-22,1
7,CNC-007,"CNC Machine",2016-10-27,Running,2025-09-12,1
8,CNC-008,"CNC Machine",2022-05-17,Running,2025-08-29,1
9,ROB-001,"Assembly Robot",2021-08-23,Idle,2025-02-11,1
10,ROB-002,"Assembly Robot",2020-04-06,Running,2025-07-18,1
11,ROB-003,"Assembly Robot",2025-03-14,Running,2025-11-23,1
12,ROB-004,"Assembly Robot",2023-01-18,"Under Maintenance",2025-12-27,1
13,ROB-005,"Assembly Robot",2016-12-25,Running,2025-11-21,1
14,ROB-006,"Assembly Robot",2020-11-17,Running,2025-09-02,1
15,INJ-001,"Injection Molding Machine",2015-09-10,Running,2025-10-11,1
16,INJ-002,"Injection Molding Machine",2019-03-27,Running,2025-10-31,1
17,INJ-003,"Injection Molding Machine",2015-08-15,"Under Maintenance",2025-12-08,1
18,INJ-004,"Injection Molding Machine",2024-01-22,Running,2025-09-03,1
19,LAS-001,"Laser Cutter",2025-12-15,Running,2025-12-15,1
20,LAS-002,"Laser Cutter",2023-07-03,Running,2025-11-26,1
21,LAS-003,"Laser Cutter",2018-06-17,Running,2025-07-11,1
22,LAS-004,"Laser Cutter",2015-05-11,Running,2025-10-20,1
23,HYD-001,"Hydraulic Press",2022-01-28,Running,2025-07-12,1
24,HYD-002,"Hydraulic Press",2020-06-21,Running,2025-09-17,1
25,HYD-003,"Hydraulic Press",2021-10-01,Running,2025-10-02,1
26,PKG-001,"Packaging Machine",2017-04-26,Running,2025-10-08,1
27,PKG-002,"Packaging Machine",2020-02-20,Idle,2025-09-07,1
28,CON-001,"Conveyor System",2024-07-26,Running,2025-10-24,1
29,CNC-009,"CNC Machine",2020-10-09,Running,2025-09-02,2
30,CNC-010,"CNC Machine",2017-01-24,Running,2025-11-10,2
31,CNC-011,"CNC Machine",2017-03-27,Running,2025-09-03,2
32,CNC-012,"CNC Machine",2018-10-03,Idle,2025-03-13,2
33,CNC-013,"CNC Machine",2016-03-04,Running,2025-07-07,2
34,CNC-014,"CNC Machine",2015-04-09,Running,2025-10-23,2
35,ROB-007,"Assembly Robot",2025-02-04,Running,2025-07-31,2
36,ROB-008,"Assembly Robot",2019-05-03,Running,2025-11-20,2
37,ROB-009,"Assembly Robot",2018-05-16,"Under Maintenance",2025-12-22,2
38,ROB-010,"Assembly Robot",2020-07-18,Running,2025-07-16,2
39,ROB-011,"Assembly Robot",2016-04-07,Running,2025-08-02,2
40,INJ-005,"Injection Molding Machine",2021-01-11,Running,2025-11-27,2
41,INJ-006,"Injection Molding Machine",2023-03-17,Running,2025-11-02,2
42,INJ-007,"Injection Molding Machine",2020-07-17,Running,2025-09-02,2
43,INJ-008,"Injection Molding Machine",2013-04-11,"Under Maintenance",2025-12-30,2
44,LAS-005,"Laser Cutter",2020-12-17,Running,2025-09-27,2
45,LAS-006,"Laser Cutter",2015-07-05,Running,2025-10-19,2
46,LAS-007,"Laser Cutter",2016-01-07,Idle,2025-01-15,2
47,HYD-004,"Hydraulic Press",2019-03-22,Running,2025-10-31,2
48,HYD-005,"Hydraulic Press",2019-01-19,Running,2025-09-22,2
49,PKG-003,"Packaging Machine",2024-03-08,Running,2025-10-24,2
